date,stock,final_pnl_aed,buy_quantity,sell_quantity,number_of_buy_fills,number_of_sell_fills,ending_inventory,max_long_inventory,max_short_inventory,max_absolute_exposure_aed,gross_traded_value,total_filled_quantity,liquidation_price,cash_before_liquidation
2025-09-19,EMAAR UH Equity,-1955.7,205986.0,298377.0,215,482,-92391.0,348.0,-107142.0,1499992.05,7069888.35,504363.0,14.05,1296137.85
2025-09-22,EMAAR UH Equity,-4016.4,215500.0,317561.0,195,348,-102061.0,17298.0,-102061.0,1439060.1,7522928.85,533061.0,14.15,1440146.75
2025-09-23,EMAAR UH Equity,3973.5,263248.0,370880.0,251,519,-107632.0,9783.0,-107913.0,1499990.7,8853422.0,634128.0,13.95,1505439.9
2025-09-24,EMAAR UH Equity,-3534.25,644648.0,711050.0,723,720,-66402.0,110701.0,-100651.0,1505506.4,18442286.65,1355698.0,13.6,899532.95
2025-09-25,EMAAR UH Equity,14987.7,530606.0,551767.0,497,410,-21161.0,34373.0,-61582.0,831357.0,14565035.2,1082373.0,13.4,298545.1
2025-09-26,EMAAR UH Equity,-1982.35,477799.0,493599.0,389,341,-15800.0,98604.0,-28108.0,1311433.2,12885298.55,971398.0,13.3,208157.65
2025-09-29,EMAAR UH Equity,3325.65,409424.0,320158.0,338,289,89266.0,102215.0,-27214.0,1364570.25,9734336.25,729582.0,13.3,-1183912.15
2025-09-30,EMAAR UH Equity,6017.75,374506.0,422825.0,433,505,-48319.0,52707.0,-58319.0,769810.8,10504456.6,797331.0,13.05,636580.7
2025-09-01,EMAARDEV UH Equity,-29242.85,239365.0,176597.0,139,139,62768.0,83570.0,-671.0,1211765.0,6018978.55,415962.0,14.2,-920548.45
2025-09-02,EMAARDEV UH Equity,-23748.25,397946.0,468841.0,272,298,-70895.0,93501.0,-94929.0,1357484.7,12126720.65,866787.0,14.3,990050.25
2025-09-03,EMAARDEV UH Equity,442.85,181698.0,183695.0,321,212,-1997.0,23076.0,-31797.0,454697.1,5231411.1,365393.0,14.25,28900.1
2025-09-04,EMAARDEV UH Equity,2126.15,87783.0,158126.0,116,107,-70343.0,10917.0,-73066.0,1041190.5,3520664.15,245909.0,14.3,1008031.05
2025-09-08,EMAARDEV UH Equity,3603.7,173175.0,152768.0,149,153,20407.0,27412.0,-26848.0,386509.2,4626928.95,325943.0,14.15,-285155.35
2025-09-09,EMAARDEV UH Equity,-778.45,114792.0,95491.0,611,780,19301.0,30319.0,-4124.0,424466.0,2964502.7,210283.0,14.05,-271957.5
2025-09-10,EMAARDEV UH Equity,3227.95,163093.0,139920.0,421,230,23173.0,50316.0,-30440.0,704424.0,4257873.65,303013.0,14.1,-323511.35
2025-09-11,EMAARDEV UH Equity,663.95,123576.0,129053.0,141,177,-5477.0,31426.0,-24749.0,441408.85,3570933.65,252629.0,14.2,78437.35
2025-09-12,EMAARDEV UH Equity,-608.85,108721.0,129369.0,182,165,-20648.0,31920.0,-43944.0,643779.6,3434864.75,238090.0,14.55,299819.55
2025-09-15,EMAARDEV UH Equity,1193.65,125059.0,127118.0,133,205,-2059.0,25996.0,-17251.0,373028.25,3641410.3,252177.0,14.35,30740.3
2025-09-16,EMAARDEV UH Equity,995.95,155622.0,148209.0,210,285,7413.0,26815.0,-16359.0,379432.25,4319325.8,303831.0,14.15,-103898.0
2025-09-17,EMAARDEV UH Equity,-1461.7,209581.0,236456.0,322,313,-26875.0,16915.0,-48347.0,686527.4,6288252.0,446037.0,14.3,382850.8
2025-09-18,EMAARDEV UH Equity,2732.9,115111.0,213535.0,115,144,-98424.0,11899.0,-104895.0,1509969.6,4729893.4,328646.0,14.4,1420038.5
2025-09-19,EMAARDEV UH Equity,-20317.3,183115.0,221838.0,192,208,-38723.0,0.0,-66658.0,996537.1,5949322.9,404953.0,15.1,564400.0
2025-09-22,EMAARDEV UH Equity,5934.6,176007.0,182626.0,126,128,-6619.0,31753.0,-35589.0,530276.1,5344736.95,358633.0,14.95,104888.65
2025-09-23,EMAARDEV UH Equity,-31046.1,294157.0,198850.0,161,227,95307.0,98372.0,-11255.0,1426394.0,7266842.1,493007.0,14.4,-1403466.9
2025-09-24,EMAARDEV UH Equity,1545.7,430419.0,439696.0,323,315,-9277.0,82359.0,-25953.0,1132436.25,12246649.55,870115.0,14.05,131887.55
2025-09-25,EMAARDEV UH Equity,-17311.65,338322.0,228443.0,275,141,109879.0,109890.0,-10000.0,1505342.3,7878255.55,566765.0,13.7,-1522653.95
2025-09-26,EMAARDEV UH Equity,3287.65,227574.0,150230.0,182,80,77344.0,81961.0,-431.0,1102375.45,5138563.55,377804.0,13.6,-1048590.75
2025-09-29,EMAARDEV UH Equity,570.85,209305.0,193915.0,171,139,15390.0,45756.0,-28517.0,622281.6,5505599.65,403220.0,13.6,-208733.15
2025-09-30,EMAARDEV UH Equity,4185.7,174799.0,189515.0,240,275,-14716.0,53308.0,-38440.0,706331.0,4890177.4,364314.0,13.45,202115.9
