date,stock,final_pnl_aed,buy_quantity,sell_quantity,number_of_buy_fills,number_of_sell_fills,ending_inventory,max_long_inventory,max_short_inventory,max_absolute_exposure_aed,gross_traded_value,total_filled_quantity,liquidation_price,cash_before_liquidation
2025-09-18,EMAAR UH Equity,6651.95,415430.0,407891.0,454,555,7539.0,32653.0,-27857.0,455509.35,11535733.05,823321.0,13.9,-98140.15
2025-09-19,EMAAR UH Equity,2280.15,246719.0,261907.0,223,488,-15188.0,6027.0,-43829.0,615797.45,7131117.45,508626.0,14.05,215671.55
2025-09-22,EMAAR UH Equity,-987.4,238596.0,275313.0,198,319,-36717.0,19973.0,-43980.0,620118.0,7252951.45,513909.0,14.15,518558.15
2025-09-23,EMAAR UH Equity,3877.5,300316.0,341150.0,279,527,-40834.0,22179.0,-43538.0,605178.2,8956788.5,641466.0,13.95,573511.8
2025-09-24,EMAAR UH Equity,5668.8,658365.0,651309.0,756,714,7056.0,42187.0,-45380.0,617168.0,17814670.7,1309674.0,13.6,-90292.8
2025-09-25,EMAAR UH Equity,9522.75,540409.0,529287.0,511,405,11122.0,20204.0,-36853.0,497515.5,14393465.75,1069696.0,13.4,-139512.05
2025-09-26,EMAAR UH Equity,2761.0,463171.0,473511.0,415,343,-10340.0,39574.0,-31742.0,524355.5,12423392.4,936682.0,13.3,140283.0
2025-09-29,EMAAR UH Equity,4637.35,361209.0,347540.0,319,290,13669.0,39949.0,-23086.0,532598.25,9456164.75,708749.0,13.3,-177160.35
2025-09-30,EMAAR UH Equity,5521.1,379499.0,397129.0,451,512,-17630.0,34994.0,-41726.0,552869.5,10231131.7,776628.0,13.05,235592.6
2025-09-01,EMAARDEV UH Equity,-9354.3,197138.0,183840.0,136,145,13298.0,40187.0,-21140.0,584720.85,5510010.0,380978.0,14.2,-198185.9
2025-09-02,EMAARDEV UH Equity,-19859.45,377559.0,382829.0,262,270,-5270.0,45910.0,-53168.0,754985.6,10630439.95,760388.0,14.3,55501.55
2025-09-03,EMAARDEV UH Equity,-782.5,185586.0,183621.0,326,220,1965.0,31062.0,-20911.0,442049.25,5285655.55,369207.0,14.25,-28783.75
2025-09-04,EMAARDEV UH Equity,824.3,102809.0,128728.0,118,100,-25919.0,10917.0,-41712.0,598567.2,3313916.5,231537.0,14.3,371466.0
2025-09-08,EMAARDEV UH Equity,2176.05,166892.0,152764.0,142,156,14128.0,25678.0,-21304.0,362059.8,4538625.35,319656.0,14.15,-197735.15
2025-09-09,EMAARDEV UH Equity,-159.4,104940.0,100360.0,583,782,4580.0,25582.0,-4124.0,358148.0,2894359.4,205300.0,14.05,-64508.4
2025-09-10,EMAARDEV UH Equity,813.9,147631.0,147596.0,418,234,35.0,37342.0,-26481.0,520920.9,4148792.9,295227.0,14.1,320.4
2025-09-11,EMAARDEV UH Equity,151.9,120717.0,125929.0,133,182,-5212.0,21628.0,-28385.0,403067.0,3486354.8,246646.0,14.2,74162.3
2025-09-12,EMAARDEV UH Equity,-5387.25,121801.0,120130.0,175,165,1671.0,29368.0,-39755.0,582410.75,3489294.8,241931.0,14.55,-29700.3
2025-09-15,EMAARDEV UH Equity,1560.3,121134.0,128564.0,134,205,-7430.0,21253.0,-15796.0,304980.55,3605407.3,249698.0,14.35,108180.8
2025-09-16,EMAARDEV UH Equity,836.55,155110.0,150453.0,209,289,4657.0,24800.0,-15299.0,350920.0,4344100.9,305563.0,14.15,-65060.0
2025-09-17,EMAARDEV UH Equity,3578.7,224162.0,224143.0,327,311,19.0,19218.0,-24611.0,348245.65,6320258.8,448305.0,14.3,3307.0
2025-09-18,EMAARDEV UH Equity,-671.05,135607.0,165045.0,119,158,-29438.0,11899.0,-53858.0,780941.0,4323793.05,300652.0,14.4,423236.15
2025-09-19,EMAARDEV UH Equity,-1382.65,198084.0,194948.0,192,201,3136.0,19858.0,-36284.0,529746.4,5773161.85,393032.0,15.1,-48736.25
2025-09-22,EMAARDEV UH Equity,5210.2,173030.0,186398.0,129,128,-13368.0,42606.0,-24823.0,632817.9,5356489.4,359428.0,14.95,205061.8
2025-09-23,EMAARDEV UH Equity,-6303.55,246979.0,230197.0,155,236,16782.0,31833.0,-11255.0,469536.75,7036100.75,477176.0,14.4,-247964.35
2025-09-24,EMAARDEV UH Equity,-4718.55,398221.0,412466.0,316,320,-14245.0,41432.0,-28210.0,575738.0,11410714.2,810687.0,14.05,195423.7
2025-09-25,EMAARDEV UH Equity,-2994.05,290553.0,260663.0,266,147,29890.0,35153.0,-10000.0,483353.75,7662296.65,551216.0,13.7,-412487.05
2025-09-26,EMAARDEV UH Equity,-1016.65,189500.0,167450.0,154,90,22050.0,43860.0,-23712.0,589917.0,4857394.55,356950.0,13.6,-300896.65
2025-09-29,EMAARDEV UH Equity,62.9,193977.0,199314.0,159,138,-5337.0,33022.0,-20225.0,450750.3,5370374.6,393291.0,13.6,72646.1
2025-09-30,EMAARDEV UH Equity,-368.65,165536.0,188964.0,209,268,-23428.0,36936.0,-33843.0,489402.0,4759216.75,354500.0,13.45,314737.95
