date,stock,final_pnl_aed,buy_quantity,sell_quantity,number_of_buy_fills,number_of_sell_fills,ending_inventory,max_long_inventory,max_short_inventory,max_absolute_exposure_aed,gross_traded_value,total_filled_quantity,liquidation_price,cash_before_liquidation
2025-09-26,EMAAR UH Equity,-1982.35,477799.0,494302.0,389,345,-16503.0,98604.0,-28108.0,1311433.2,12894648.45,972101.0,13.3,217507.55
2025-09-29,EMAAR UH Equity,3325.65,409424.0,320158.0,338,289,89266.0,102215.0,-27214.0,1364570.25,9734336.25,729582.0,13.3,-1183912.15
2025-09-30,EMAAR UH Equity,6017.75,409620.0,432825.0,474,506,-23205.0,52707.0,-58319.0,769810.8,11093194.3,842445.0,13.05,308843.0
2025-09-01,EMAARDEV UH Equity,-29242.85,240131.0,176597.0,149,139,63534.0,83570.0,-671.0,1211765.0,6029855.75,416728.0,14.2,-931425.65
2025-09-02,EMAARDEV UH Equity,-23748.25,399136.0,470499.0,273,299,-71363.0,93501.0,-94929.0,1357484.7,12167447.05,869635.0,14.3,996742.65
2025-09-03,EMAARDEV UH Equity,442.85,190806.0,183695.0,332,212,7111.0,23076.0,-31797.0,454697.1,5361200.1,374501.0,14.25,-100888.9
2025-09-04,EMAARDEV UH Equity,2126.15,92005.0,168290.0,117,114,-76285.0,10917.0,-80507.0,1151250.1,3726383.95,260295.0,14.3,1093001.65
2025-09-08,EMAARDEV UH Equity,3603.7,173175.0,162768.0,149,160,10407.0,27412.0,-26848.0,386509.2,4768428.95,335943.0,14.15,-143655.35
2025-09-09,EMAARDEV UH Equity,-778.45,114792.0,95491.0,611,780,19301.0,30319.0,-4124.0,424466.0,2964502.7,210283.0,14.05,-271957.5
2025-09-10,EMAARDEV UH Equity,3227.95,163093.0,142884.0,421,234,20209.0,50316.0,-30440.0,704424.0,4299666.05,305977.0,14.1,-281718.95
2025-09-11,EMAARDEV UH Equity,663.95,132587.0,129053.0,142,177,3534.0,31426.0,-24749.0,441408.85,3698889.85,261640.0,14.2,-49518.85
2025-09-12,EMAARDEV UH Equity,-608.85,108721.0,136370.0,182,168,-27649.0,31920.0,-43944.0,643779.6,3536729.3,245091.0,14.55,401684.1
2025-09-15,EMAARDEV UH Equity,1193.65,125059.0,137546.0,133,215,-12487.0,25996.0,-17251.0,373028.25,3791052.1,262605.0,14.35,180382.1
2025-09-16,EMAARDEV UH Equity,995.95,166362.0,168209.0,212,287,-1847.0,26815.0,-16359.0,379432.25,4754296.8,334571.0,14.15,27131.0
2025-09-17,EMAARDEV UH Equity,-1461.7,219581.0,254214.0,323,323,-34633.0,16915.0,-48347.0,686527.4,6685191.4,473795.0,14.3,493790.2
2025-09-18,EMAARDEV UH Equity,2732.9,115111.0,219277.0,115,153,-104166.0,11899.0,-104895.0,1509969.6,4812578.2,334388.0,14.4,1502723.3
2025-09-19,EMAARDEV UH Equity,-20317.3,183115.0,225774.0,192,213,-42659.0,0.0,-66658.0,996537.1,6008756.5,408889.0,15.1,623833.6
2025-09-22,EMAARDEV UH Equity,5934.6,176007.0,193347.0,126,133,-17340.0,31753.0,-35589.0,530276.1,5505015.9,369354.0,14.95,265167.6
2025-09-23,EMAARDEV UH Equity,-31046.1,294965.0,198850.0,163,227,96115.0,98372.0,-11255.0,1426394.0,7278477.3,493815.0,14.4,-1415102.1
2025-09-24,EMAARDEV UH Equity,1545.7,440419.0,439696.0,326,315,723.0,82359.0,-25953.0,1132436.25,12387149.55,880115.0,14.05,-8612.45
2025-09-25,EMAARDEV UH Equity,-17311.65,338322.0,229403.0,275,146,108919.0,109890.0,-10000.0,1505342.3,7891407.55,567725.0,13.7,-1509501.95
2025-09-26,EMAARDEV UH Equity,3287.65,227574.0,154873.0,182,82,72701.0,81961.0,-431.0,1102375.45,5201708.35,382447.0,13.6,-985445.95
2025-09-29,EMAARDEV UH Equity,570.85,209305.0,203915.0,171,143,5390.0,45756.0,-28517.0,622281.6,5641599.65,413220.0,13.6,-72733.15
2025-09-30,EMAARDEV UH Equity,4185.7,174799.0,190675.0,240,286,-15876.0,53308.0,-38440.0,706331.0,4905779.4,365474.0,13.45,217717.9
